Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Engagement,Performance,Cluster
41,1,Travel_Rarely,1102,Sales,1,College,Life Sciences,0,Female,94,0,Junior Level,Sales Executive,0,Single,5993,19479,8,Yes,11,0,Low,0,8,0,0,6,4,0,5,0,11,2
49,0,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,1,Male,61,1,Junior Level,Research Scientist,1,Married,5130,24907,1,No,23,1,Very High,1,10,3,1,10,7,1,7,4,27,2
37,1,Travel_Rarely,1373,Research & Development,2,College,Other,2,Male,92,1,Entry Level,Laboratory Technician,2,Single,2090,2396,6,Yes,15,0,Medium,0,7,3,1,0,0,0,0,6,18,1
33,0,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,2,Female,56,0,Entry Level,Research Scientist,2,Married,2909,23159,1,Yes,11,0,High,0,8,3,1,8,7,3,0,5,14,2
27,0,Travel_Rarely,591,Research & Development,2,Below College,Medical,3,Male,40,0,Entry Level,Laboratory Technician,1,Married,3468,16632,9,No,12,0,Very High,1,6,3,1,2,2,2,2,5,15,2
32,0,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,2,Male,79,0,Entry Level,Laboratory Technician,0,Single,3068,11864,0,No,13,0,High,0,8,2,2,7,7,3,6,4,15,1
59,0,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,1,Female,81,2,Entry Level,Laboratory Technician,3,Married,2670,9964,4,Yes,20,1,Low,3,12,3,2,1,0,0,0,8,24,1
30,0,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,2,Male,67,0,Entry Level,Laboratory Technician,2,Divorced,2693,13335,1,No,22,1,Medium,1,1,2,1,1,0,0,0,5,25,1
38,0,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,2,Male,44,1,Mid Level,Manufacturing Director,2,Single,9526,8787,0,No,21,1,Medium,0,10,2,1,9,7,1,8,6,24,1
36,0,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,1,Male,94,0,Junior Level,Healthcare Representative,2,Married,5237,16577,6,No,13,0,Medium,2,17,3,2,7,7,7,7,5,16,2
